"420151, г. Лесной, ул. Вишневая, 32"
"125061, г. Лесной, ул. Подгорная, 8"
"630370, г. Лесной, ул. Шоссейная, 24"
"400562, г. Лесной, ул. Зеленая, 32"
"614510, г. Лесной, ул. Маяковского, 47"
"410542, г. Лесной, ул. Светлая, 46"
"620839, г. Лесной, ул. Цветочная, 8"
"443890, г. Лесной, ул. Коммунистическая, 1"
"603379, г. Лесной, ул. Спортивная, 46"
"603721, г. Лесной, ул. Гоголя, 41"
"410172, г. Лесной, ул. Северная, 13"
"614611, г. Лесной, ул. Молодежная, 50"
"454311, г.Лесной, ул. Новая, 19"
"660007, г.Лесной, ул. Октябрьская, 19"
"603036, г. Лесной, ул. Садовая, 4"
"394060, г.Лесной, ул. Фрунзе, 43"
"410661, г. Лесной, ул. Школьная, 50"
"625590, г. Лесной, ул. Коммунистическая, 20"
"625683, г. Лесной, ул. 8 Марта"
"450983, г.Лесной, ул. Комсомольская, 26"
"394782, г. Лесной, ул. Чехова, 3"
"603002, г. Лесной, ул. Дзержинского, 28"
"450558, г. Лесной, ул. Набережная, 30"
"344288, г. Лесной, ул. Чехова, 1"
"614164, г.Лесной,  ул. Степная, 30"
"394242, г. Лесной, ул. Коммунистическая, 43"
"660540, г. Лесной, ул. Солнечная, 25"
"125837, г. Лесной, ул. Шоссейная, 40"
"125703, г. Лесной, ул. Партизанская, 49"
"625283, г. Лесной, ул. Победы, 46"
"614753, г. Лесной, ул. Полевая, 35"
"426030, г. Лесной, ул. Маяковского, 44"
"450375, г. Лесной ул. Клубная, 44"
"625560, г. Лесной, ул. Некрасова, 12"
"630201, г. Лесной, ул. Комсомольская, 17"
"190949, г. Лесной, ул. Мичурина, 26"
